"metabolite","cluster","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6"
"15",2,9.37679449674319e-08,0.997077474194996,1.34787909530312e-05,6.21553707229176e-12,0.0029089532114524,2.84382484051995e-11
"16",2,3.06680941029412e-08,0.998278439806972,5.53543459897093e-05,5.71383606323825e-12,0.00166617515085879,2.2371272241575e-11
"17",3,4.09822387276815e-11,9.20833263483428e-08,0.999999904356731,4.79826443787252e-14,3.51880529392419e-09,1.06815143350719e-13
"18",6,0.000128515430362066,1.45911158397624e-06,1.76000415005199e-06,0.00111645887132367,1.93864021614811e-07,0.998751612718559
"19",3,2.01210826460501e-09,0.000130921315004041,0.999869049039299,1.24302120235974e-12,2.76201575057016e-08,1.21886724687073e-11
"20",3,1.65795500528447e-08,0.0399050929407226,0.960094081479763,1.01249295509005e-12,8.08968800650202e-07,3.0151578955386e-11
"21",3,6.45121680430894e-06,3.57583284282865e-06,0.999987316864927,9.86155861179904e-07,1.48460751017441e-06,1.85322054730638e-07
"22",6,0.000122670717945825,3.32585124647698e-05,4.42929381404689e-06,0.00269612488925659,5.55871273878396e-07,0.997142960715245
"23",4,7.16666158301236e-06,3.46993740608838e-10,5.80140763841087e-10,0.99831594440426,3.73892911372533e-11,0.0016768879696329
"24",1,0.603170294345966,0.3674848415814,0.0289480873696211,2.5639105362049e-05,0.000328366358594048,4.27712390569548e-05
"25",1,0.999970100037935,2.16293834957152e-05,8.12687284790605e-06,4.38789106746471e-08,9.18345438759709e-08,7.99226663884837e-09
"26",6,0.000561895088810329,2.20462169992486e-08,8.38209985433212e-08,0.00670502681519859,1.69120694646792e-08,0.992732955316706
"27",6,0.000837771117727395,5.6045644319668e-06,3.29881205730099e-06,0.00171866152344788,3.22496375508437e-07,0.99743434148596
"28",1,0.985643304295033,0.010854407078234,0.000329833874487984,0.000122909200143388,0.000793610334085828,0.00225593521801556
"29",6,0.000464084260252443,2.86912662524606e-08,3.33182943275502e-08,0.190329595869009,8.36359508175907e-09,0.809206249497583
