super_pathway,sub_pathway,challenge,metabolite,platform_name,abs_log2_foldchange,neg_log10_p_value,type
Amino Acids,Phenylalanine and Tyrosine Metabolism,Fasting,p-cresol-glucuronide,Metabolon HD4 [nt-ms],0,8.68236955245229,Top by -log10(p_value)
Nucleotides,"Pyrimidine Metabolism, Uracil containing",OLTT,3-ureidopropionate,Metabolon HD4 [nt-ms],0.685716890356508,8.4093055917816,Top by -log10(p_value)
Nucleotides,"Pyrimidine Metabolism, Uracil containing",OLTT,3-ureidopropionate,Metabolon HD4 [nt-ms],0.493995934322745,8.4093055917816,Top by -log10(p_value)
Nucleotides,"Pyrimidine Metabolism, Uracil containing",OLTT,3-ureidopropionate,Metabolon HD4 [nt-ms],0,8.4093055917816,Top by -log10(p_value)
Lipids,Lyso-phospho-ether,OLTT,1-palmityl-gpc (o-16:0),Metabolon HD4 [nt-ms],0.314835148882393,8.29505540274288,Top by -log10(p_value)
Lipids,Lyso-phospho-ether,OLTT,1-palmityl-gpc (o-16:0),Metabolon HD4 [nt-ms],0.259182650496268,8.29505540274288,Top by -log10(p_value)
Lipids,Lyso-phospho-ether,OLTT,1-palmityl-gpc (o-16:0),Metabolon HD4 [nt-ms],0,8.29505540274288,Top by -log10(p_value)
Cofactors and Vitamins,Vitamin A Metabolism,Fasting,retinol (vitamin a),Metabolon HD4 [nt-ms],0.0954860891654798,8.1422482071963,Top by -log10(p_value)
Cofactors and Vitamins,Vitamin A Metabolism,Fasting,retinol (vitamin a),Metabolon HD4 [nt-ms],0.0611895149986581,8.1422482071963,Top by -log10(p_value)
Cofactors and Vitamins,Vitamin A Metabolism,Fasting,retinol (vitamin a),Metabolon HD4 [nt-ms],0,8.1422482071963,Top by -log10(p_value)
Carbohydrates,"Fructose, Mannose and Galactose Metabolism",OLTT,fructose,Metabolon HD4 [nt-ms],1.00465544366037,8.09580508243196,Top by -log10(p_value)
Carbohydrates,"Fructose, Mannose and Galactose Metabolism",OLTT,fructose,Metabolon HD4 [nt-ms],0.347375587811329,8.09580508243196,Top by -log10(p_value)
Carbohydrates,"Fructose, Mannose and Galactose Metabolism",OLTT,fructose,Metabolon HD4 [nt-ms],0,8.09580508243196,Top by -log10(p_value)
Lipids,Sphingomyelin,PAT,sm c16:1,Biocrates p150 [t-ms],0.290496141524914,7.08834118690868,Top by -log10(p_value)
Lipids,Sphingomyelin,PAT,sm c16:1,Biocrates p150 [t-ms],0.231016917886652,7.08834118690868,Top by -log10(p_value)
Lipids,Sphingomyelin,PAT,sm c16:1,Biocrates p150 [t-ms],0,7.08834118690868,Top by -log10(p_value)
Lipids,"Fatty Acid, Dicarboxylate",OLTT,azelate (nonanedioate),Metabolon HD4 [nt-ms],1.04058913975738,7.08183158715378,Top by -log10(p_value)
Lipids,"Fatty Acid, Dicarboxylate",OLTT,azelate (nonanedioate),Metabolon HD4 [nt-ms],0.528067017352277,7.08183158715378,Top by -log10(p_value)
Lipids,"Fatty Acid, Dicarboxylate",OLTT,azelate (nonanedioate),Metabolon HD4 [nt-ms],0,7.08183158715378,Top by -log10(p_value)
Lipids,Lysolipid,Fasting,1-docosapentaenoyl-gpc (22:5n6),Metabolon HD4 [nt-ms],0.238579432822698,6.99489931792445,Top by -log10(p_value)
Lipids,Lysolipid,Fasting,1-docosapentaenoyl-gpc (22:5n6),Metabolon HD4 [nt-ms],0.0543903469110159,6.99489931792445,Top by -log10(p_value)
Lipids,Lysolipid,Fasting,1-docosapentaenoyl-gpc (22:5n6),Metabolon HD4 [nt-ms],0,6.99489931792445,Top by -log10(p_value)
Amino Acids,"Glycine, Serine and Threonine Metabolism",PAT,glycine,Biocrates p150 [t-ms],0.0934495329891973,6.48750340976959,Top by -log10(p_value)
Amino Acids,"Glycine, Serine and Threonine Metabolism",PAT,glycine,Biocrates p150 [t-ms],0.0103269714891432,6.48750340976959,Top by -log10(p_value)
Amino Acids,"Glycine, Serine and Threonine Metabolism",PAT,glycine,Biocrates p150 [t-ms],0,6.48750340976959,Top by -log10(p_value)
Carbohydrates,Aminosugar Metabolism,OLTT,erythronate,Metabolon HD4 [nt-ms],0.416768202294385,6.13546548692532,Top by -log10(p_value)
Carbohydrates,Aminosugar Metabolism,OLTT,erythronate,Metabolon HD4 [nt-ms],0.120623659630711,6.13546548692532,Top by -log10(p_value)
Carbohydrates,Aminosugar Metabolism,OLTT,erythronate,Metabolon HD4 [nt-ms],0,6.13546548692532,Top by -log10(p_value)
Lipids,Sphingomyelin,Fasting,sm (oh) c22:1,Biocrates p150 [t-ms],0.227044980007718,5.93938091963562,Top by -log10(p_value)
Lipids,Sphingomyelin,Fasting,sm (oh) c22:1,Biocrates p150 [t-ms],0.207120558876223,5.93938091963562,Top by -log10(p_value)
Lipids,Sphingomyelin,Fasting,sm (oh) c22:1,Biocrates p150 [t-ms],0,5.93938091963562,Top by -log10(p_value)
Xenobiotics,Food Component/Plant,OLTT,indolin-2-one,Metabolon HD4 [nt-ms],0.54477542581501,5.88826131827939,Top by -log10(p_value)
Xenobiotics,Food Component/Plant,OLTT,indolin-2-one,Metabolon HD4 [nt-ms],0.20572165709877,5.88826131827939,Top by -log10(p_value)
Xenobiotics,Food Component/Plant,OLTT,indolin-2-one,Metabolon HD4 [nt-ms],0,5.88826131827939,Top by -log10(p_value)
Xenobiotics,Xanthine Metabolism,Fasting,1-methylxanthine,Metabolon HD4 [nt-ms],1.07577564244294,5.5212529084868,Top by -log10(p_value)
Xenobiotics,Xanthine Metabolism,Fasting,1-methylxanthine,Metabolon HD4 [nt-ms],0.344132874462922,5.5212529084868,Top by -log10(p_value)
Xenobiotics,Xanthine Metabolism,Fasting,1-methylxanthine,Metabolon HD4 [nt-ms],0,5.5212529084868,Top by -log10(p_value)
Carbohydrates,Pentose Metabolism,OLTT,ribonate,Metabolon HD4 [nt-ms],0.899517424094097,5.28720159708517,Top by -log10(p_value)
Carbohydrates,Pentose Metabolism,OLTT,ribonate,Metabolon HD4 [nt-ms],0.264780433041588,5.28720159708517,Top by -log10(p_value)
Carbohydrates,Pentose Metabolism,OLTT,ribonate,Metabolon HD4 [nt-ms],0,5.28720159708517,Top by -log10(p_value)
Lipids,Monoacylglycerol,OLTT,1-linoleoylglycerol (18:2),Metabolon HD4 [nt-ms],0.551324831360577,5.26117903924064,Top by -log10(p_value)
Lipids,Monoacylglycerol,OLTT,1-linoleoylglycerol (18:2),Metabolon HD4 [nt-ms],0.544134697236374,5.26117903924064,Top by -log10(p_value)
Lipids,Monoacylglycerol,OLTT,1-linoleoylglycerol (18:2),Metabolon HD4 [nt-ms],0,5.26117903924064,Top by -log10(p_value)
Carbohydrates,Glycogen Metabolism,PAT,maltotriose,Metabolon HD4 [nt-ms],1.63387711784565,5.2338946210849,Top by -log10(p_value)
Carbohydrates,Glycogen Metabolism,PAT,maltotriose,Metabolon HD4 [nt-ms],0.643370860289361,5.2338946210849,Top by -log10(p_value)
Carbohydrates,Glycogen Metabolism,PAT,maltotriose,Metabolon HD4 [nt-ms],0,5.2338946210849,Top by -log10(p_value)
Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,PAT,threonate,Metabolon HD4 [nt-ms],0.625455187251624,5.19624180403812,Top by -log10(p_value)
Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,PAT,threonate,Metabolon HD4 [nt-ms],0.492640298377886,5.19624180403812,Top by -log10(p_value)
Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,PAT,threonate,Metabolon HD4 [nt-ms],0,5.19624180403812,Top by -log10(p_value)
Nucleotides,"Pyrimidine Metabolism, Uracil containing",Fasting,n-acetyl-beta-alanine,Metabolon HD4 [nt-ms],0.349077826453632,5.18967529794168,Top by -log10(p_value)
Nucleotides,"Pyrimidine Metabolism, Uracil containing",Fasting,n-acetyl-beta-alanine,Metabolon HD4 [nt-ms],0.107737066156051,5.18967529794168,Top by -log10(p_value)
Nucleotides,"Pyrimidine Metabolism, Uracil containing",Fasting,n-acetyl-beta-alanine,Metabolon HD4 [nt-ms],0,5.18967529794168,Top by -log10(p_value)
Lipids,Glycerolipid Metabolism,OLTT,glycerol 3-phosphate,Metabolon HD4 [nt-ms],0.847817714853446,5.04968117003607,Top by -log10(p_value)
Lipids,Glycerolipid Metabolism,OLTT,glycerol 3-phosphate,Metabolon HD4 [nt-ms],0.814720037994992,5.04968117003607,Top by -log10(p_value)
Lipids,Glycerolipid Metabolism,OLTT,glycerol 3-phosphate,Metabolon HD4 [nt-ms],0,5.04968117003607,Top by -log10(p_value)
Lipids,Phospholipid Metabolism,PAT,glycerophosphorylcholine (gpc),Metabolon HD4 [nt-ms],0.512637845541974,4.84275096676585,Top by -log10(p_value)
Lipids,Phospholipid Metabolism,PAT,glycerophosphorylcholine (gpc),Metabolon HD4 [nt-ms],0.432053190242545,4.84275096676585,Top by -log10(p_value)
Lipids,Phospholipid Metabolism,PAT,glycerophosphorylcholine (gpc),Metabolon HD4 [nt-ms],0,4.84275096676585,Top by -log10(p_value)
Xenobiotics,Chemical,Fasting,dimethyl sulfone,Metabolon HD4 [nt-ms],0.412753188373723,4.80391581874852,Top by -log10(p_value)
Xenobiotics,Chemical,Fasting,dimethyl sulfone,Metabolon HD4 [nt-ms],0.052974538773058,4.80391581874852,Top by -log10(p_value)
Xenobiotics,Chemical,Fasting,dimethyl sulfone,Metabolon HD4 [nt-ms],0,4.80391581874852,Top by -log10(p_value)
Nucleotides,"Purine Metabolism, Adenine containing",Fasting,n1-methyladenosine,Metabolon HD4 [nt-ms],0.240986965416658,4.66641234702319,Top by -log10(p_value)
Nucleotides,"Purine Metabolism, Adenine containing",Fasting,n1-methyladenosine,Metabolon HD4 [nt-ms],0.111271092214825,4.66641234702319,Top by -log10(p_value)
Nucleotides,"Purine Metabolism, Adenine containing",Fasting,n1-methyladenosine,Metabolon HD4 [nt-ms],0,4.66641234702319,Top by -log10(p_value)
Lipids,Diacylphosphatidylcholine,Fasting,pc aa c32:3,Biocrates p150 [t-ms],0.0884744513809918,4.5271019658543,Top by -log10(p_value)
Lipids,Diacylphosphatidylcholine,Fasting,pc aa c32:3,Biocrates p150 [t-ms],0.0133125277149074,4.5271019658543,Top by -log10(p_value)
Lipids,Diacylphosphatidylcholine,Fasting,pc aa c32:3,Biocrates p150 [t-ms],0,4.5271019658543,Top by -log10(p_value)
Carbohydrates,Aminosugar Metabolism,PAT,glucuronate,Metabolon HD4 [nt-ms],0.60415530789269,4.24829258726396,Top by -log10(p_value)
Carbohydrates,Aminosugar Metabolism,PAT,glucuronate,Metabolon HD4 [nt-ms],0.554745857409797,4.24829258726396,Top by -log10(p_value)
Carbohydrates,Aminosugar Metabolism,PAT,glucuronate,Metabolon HD4 [nt-ms],0,4.24829258726396,Top by -log10(p_value)
Amino Acids,Glutathione Metabolism,Fasting,cysteine-glutathione disulfide,Metabolon HD4 [nt-ms],0.693375031044965,4.24107005456368,Top by -log10(p_value)
Amino Acids,Glutathione Metabolism,Fasting,cysteine-glutathione disulfide,Metabolon HD4 [nt-ms],0.377774701405876,4.24107005456368,Top by -log10(p_value)
