metabolite,platform,super_pathway,sub_pathway,significant_OGTT_OLTT_SLD,challenge_time,challenge,mean_response,log2_foldchange,p_value,neg_log10_p_value,abs_log2_foldchange
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,45,ogtt,-0.670071247216314,-0.623712503829571,4.40405902127868e-10,9.35614686943601,0.623712503829571
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,60,ogtt,-0.633357615665253,-0.58699887227851,4.40405902127868e-10,9.35614686943601,0.58699887227851
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,90,ogtt,-0.707548957882805,-0.661190214496062,4.40405902127868e-10,9.35614686943601,0.661190214496062
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,120,ogtt,-0.66430147972294,-0.617942736336197,4.40405902127868e-10,9.35614686943601,0.617942736336197
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,180,ogtt,-0.283735567036405,-0.237376823649662,4.40405902127868e-10,9.35614686943601,0.237376823649662
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,240,ogtt,-0.0192262419475741,0.0271325014391693,4.40405902127868e-10,9.35614686943601,0.0271325014391693
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,0,oltt,0.33324650104161,0,2.10882234580158e-15,14.6759600051291,0
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,30,oltt,-0.225966187487667,-0.559212688529278,2.10882234580158e-15,14.6759600051291,0.559212688529278
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,60,oltt,-0.500094989205175,-0.833341490246785,2.10882234580158e-15,14.6759600051291,0.833341490246785
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,90,oltt,-0.628094671221659,-0.961341172263269,2.10882234580158e-15,14.6759600051291,0.961341172263269
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,120,oltt,-0.645873025626762,-0.979119526668372,2.10882234580158e-15,14.6759600051291,0.979119526668372
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,180,oltt,-0.27353213243983,-0.606778633481441,2.10882234580158e-15,14.6759600051291,0.606778633481441
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,240,oltt,0.0445293364111815,-0.288717164630429,2.10882234580158e-15,14.6759600051291,0.288717164630429
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,0,sld,-0.0192262419475741,0,2.62856975203946e-17,16.5802804940026,0
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,60,sld,-0.745271213910435,-0.726044971962861,2.62856975203946e-17,16.5802804940026,0.726044971962861
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,120,sld,-0.69064001928634,-0.671413777338766,2.62856975203946e-17,16.5802804940026,0.671413777338766
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,180,sld,-0.71439794149323,-0.695171699545656,2.62856975203946e-17,16.5802804940026,0.695171699545656
16-hydroxypalmitate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,240,sld,0.105694456822157,0.124920698769731,2.62856975203946e-17,16.5802804940026,0.124920698769731
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,0,ogtt,0.142048298861647,0,9.2907339969601e-09,8.03194997403249,0
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,15,ogtt,0.146080690440555,0.00403239157890761,9.2907339969601e-09,8.03194997403249,0.00403239157890761
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,30,ogtt,-0.0695790150148615,-0.211627313876508,9.2907339969601e-09,8.03194997403249,0.211627313876508
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,45,ogtt,-0.330760262350975,-0.472808561212622,9.2907339969601e-09,8.03194997403249,0.472808561212622
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,60,ogtt,-0.433262048110893,-0.57531034697254,9.2907339969601e-09,8.03194997403249,0.57531034697254
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,90,ogtt,-0.830452533587634,-0.972500832449281,9.2907339969601e-09,8.03194997403249,0.972500832449281
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,120,ogtt,-0.705191765438455,-0.847240064300103,9.2907339969601e-09,8.03194997403249,0.847240064300103
17-methylstearate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Branched",TRUE,180,ogtt,-0.544810275624455,-0.686858574486102,9.2907339969601e-09,8.03194997403249,0.686858574486102
