"metabolite","cluster"
"taurine_metabolon",5
"threonine_metabolon",5
"thyroxine_metabolon",5
"tigloylglycine_metabolon",3
"tiglylcarnitine_metabolon",5
"trans.4.hydroxyproline_metabolon",1
"trans.urocanate_metabolon",1
"tryptophan_metabolon",5
"tryptophan.betaine_metabolon",4
"tyramine.O.sulfate_metabolon",3
"tyrosine_metabolon",3
"urea_metabolon",5
"valine_metabolon",3
"vanillylmandelate..VMA._metabolon",3
"xanthurenate_metabolon",3
"X1.5.anhydroglucitol..1.5.AG._metabolon",4
"X3.phosphoglycerate_metabolon",1
"arabitol.xylitol_metabolon",1
"arabonate.xylonate_metabolon",1
"erythronate._metabolon",3
"fructose_metabolon",3
"glucose_metabolon",1
"glucuronate_metabolon",5
"glycerate_metabolon",3
"lactate_metabolon",3
"maltose_metabolon",1
"maltotriose_metabolon",1
"mannitol.sorbitol_metabolon",1
"mannose_metabolon",4
"N.acetylglucosaminylasparagine_metabolon",5
"N.acetylneuraminate_metabolon",5
"pyruvate_metabolon",3
"ribitol_metabolon",1
"ribonate_metabolon",3
"X1.methylnicotinamide_metabolon",1
"alpha.tocopherol_metabolon",5
"bilirubin..E.E.._metabolon",5
"bilirubin..E.Z.or.Z.E.._metabolon",5
"bilirubin..Z.Z._metabolon",5
"biliverdin_metabolon",5
"flavin.adenine.dinucleotide..FAD._metabolon",5
"gamma.CEHC_metabolon",3
"gamma.tocopherol.beta.tocopherol_metabolon",1
"N1.Methyl.2.pyridone.5.carboxamide_metabolon",3
"nicotinamide_metabolon",4
"nicotinamide.riboside_metabolon",4
"oxalate..ethanedioate._metabolon",3
"pantothenate_metabolon",3
"pyridoxate_metabolon",3
"quinolinate_metabolon",5
"retinol..Vitamin.A._metabolon",5
"threonate_metabolon",3
"trigonelline..N..methylnicotinate._metabolon",1
"alpha.ketoglutarate_metabolon",4
"cis.aconitate_metabolon",4
"citrate_metabolon",4
"fumarate_metabolon",4
"malate_metabolon",4
"phosphate_metabolon",5
"succinate_metabolon",4
"succinylcarnitine_metabolon",5
"X1..1.enyl.oleoyl..GPC..P.18.1.._metabolon",4
"X1..1.enyl.oleoyl..GPE..P.18.1.._metabolon",4
"X1..1.enyl.palmitoyl..GPC..P.16.0.._metabolon",5
"X1..1.enyl.palmitoyl..GPE..P.16.0.._metabolon",5
"X1..1.enyl.stearoyl..GPC..P.18.0..._metabolon",5
"X1..1.enyl.stearoyl..GPE..P.18.0.._metabolon",4
"X1.adrenoyl.GPC..22.4.._metabolon",4
"X1.arachidonoyl.GPC..20.4n6.._metabolon",4
"X1.arachidonoyl.GPE..20.4n6.._metabolon",3
"X1.arachidonoyl.GPI..20.4.._metabolon",4
"X1.arachidonylglycerol..20.4._metabolon",4
"X1.arachidoyl.GPC..20.0._metabolon",4
"X1.behenoyl.GPC..22.0._metabolon",4
"X1.dihomo.linolenoyl.GPC..20.3n3.or.6.._metabolon",2
"X1.dihomo.linolenoyl.GPE..20.3n3.or.6.._metabolon",3
"X1.dihomo.linoleoyl.GPC..20.2.._metabolon",1
"X1.docosahexaenoyl.GPC..22.6.._metabolon",4
"X1.docosahexaenoyl.GPE..22.6.._metabolon",5
"X1.docosapentaenoyl.GPC..22.5n3.._metabolon",4
"X1.docosapentaenoyl.GPC..22.5n6.._metabolon",2
"X1.eicosapentaenoyl.GPC..20.5.._metabolon",1
"X1.eicosapentaenoyl.GPE..20.5.._metabolon",1
"X1.eicosenoyl.GPC..20.1.._metabolon",4
"X1.linolenoyl.GPC..18.3.._metabolon",3
"X1.linoleoyl.GPC..18.2._metabolon",5
"X1.linoleoyl.GPE..18.2.._metabolon",3
"X1.linoleoyl.GPI..18.2.._metabolon",4
"X1.linoleoylglycerol..18.2._metabolon",4
"X1.margaroyl.GPC..17.0._metabolon",5
"X1.myristoyl.GPC..14.0._metabolon",1
"X1.nonadecanoyl.GPC..19.0._metabolon",1
"X1.oleoyl.GPC..18.1._metabolon",4
"X1.oleoyl.GPE..18.1._metabolon",3
"X1.oleoyl.GPI..18.1.._metabolon",4
"X1.palmitoleoyl.GPC..16.1.._metabolon",5
"X1.palmitoyl.GPC..16.0._metabolon",5
"X1.palmitoyl.GPE..16.0._metabolon",5
"X1.palmitoyl.GPG..16.0.._metabolon",5
"X1.palmitoyl.GPI..16.0.._metabolon",2
"X1.palmitoylglycerol..16.0._metabolon",5
"X1.palmityl.GPC..O.16.0._metabolon",5
"X1.pentadecanoyl.GPC..15.0.._metabolon",5
"X1.stearoyl.GPC..18.0._metabolon",5
"X1.stearoyl.GPE..18.0._metabolon",5
"X1.stearoyl.GPI..18.0._metabolon",4
"X1.stearyl.GPC..O.18.0.._metabolon",4
"X10.undecenoate..11.1n1._metabolon",4
"X12.HETE_metabolon",1
"X13.HODE...9.HODE_metabolon",4
"X15.methylpalmitate_metabolon",4
"X16.hydroxypalmitate_metabolon",4
"X16a.hydroxy.DHEA.3.sulfate_metabolon",4
"X17.methylstearate_metabolon",4
"X17alpha.hydroxypregnenolone.sulfate_metabolon",4
"X2.aminoheptanoate_metabolon",1
"X2.aminooctanoate_metabolon",5
"X2.arachidonoyl.GPC..20.4.._metabolon",4
"X2.arachidonoyl.GPE..20.4.._metabolon",3
"X2.docosahexaenoyl.GPC..22.6.._metabolon",4
"X2.docosahexaenoyl.GPE..22.6.._metabolon",1
"X2.hydroxydecanoate_metabolon",3
"X2.hydroxyglutarate_metabolon",5
"X2.hydroxyoctanoate_metabolon",3
"X2.hydroxypalmitate_metabolon",4
"X2.hydroxystearate_metabolon",4
"X2.linoleoyl.GPC..18.2.._metabolon",3
"X2.linoleoyl.GPE..18.2.._metabolon",3
"X2.linoleoylglycerol..18.2._metabolon",4
"X2.methylmalonyl.carnitine_metabolon",4
"X2.myristoyl.GPC..14.0.._metabolon",1
"X2.oleoyl.GPC..18.1.._metabolon",4
"X2.oleoyl.GPE..18.1.._metabolon",3
"X2.palmitoyl.GPC..16.0.._metabolon",1
"X2.palmitoyl.GPE..16.0.._metabolon",1
"X2.stearoyl.GPE..18.0.._metabolon",1
"X21.hydroxypregnenolone.disulfate_metabolon",4
"X21.hydroxypregnenolone.monosulfate..1._metabolon",4
"X3.carboxy.4.methyl.5.propyl.2.furanpropanoate..CMPF._metabolon",4
"X3.hydroxy.3.methylglutarate_metabolon",3
"X3.hydroxybutyrate..BHBA._metabolon",4
"X3.hydroxybutyrylcarnitine..1._metabolon",4
"X3.hydroxybutyrylcarnitine..2._metabolon",4
"X3.hydroxydecanoate_metabolon",4
"X3.hydroxylaurate_metabolon",4
"X3.hydroxymyristate_metabolon",4
"X3.hydroxyoctanoate_metabolon",4
"X3b.hydroxy.5.cholenoic.acid_metabolon",4
"X3beta.7alpha.dihydroxy.5.cholestenoate_metabolon",4
"X4.androsten.3alpha.17alpha.diol.monosulfate..2._metabolon",4
"X4.androsten.3alpha.17alpha.diol.monosulfate..3._metabolon",5
"X4.androsten.3beta.17beta.diol.disulfate..1._metabolon",5
"X4.androsten.3beta.17beta.diol.disulfate..2._metabolon",4
"X4.androsten.3beta.17beta.diol.monosulfate..1._metabolon",5
"X4.androsten.3beta.17beta.diol.monosulfate..2._metabolon",5
"X5.dodecenoate..12.1n7._metabolon",4
"X5alpha.androstan.3alpha..17beta.diol.17.glucosiduronate_metabolon",5
"X5alpha.androstan.3alpha.17alpha.diol.disulfate_metabolon",3
"X5alpha.androstan.3alpha.17alpha.diol.monosulfate_metabolon",5
"X5alpha.androstan.3alpha.17beta.diol.disulfate_metabolon",4
"X5alpha.androstan.3alpha.17beta.diol.monosulfate..1._metabolon",5
"X5alpha.androstan.3alpha.17beta.diol.monosulfate..2._metabolon",4
"X5alpha.androstan.3beta.17alpha.diol.disulfate_metabolon",4
"X5alpha.androstan.3beta.17beta.diol.disulfate_metabolon",5
"X5alpha.androstan.3beta.17beta.diol.monosulfate..2._metabolon",5
"X5alpha.pregnan.3.alpha.or.beta..20beta.diol.disulfate_metabolon",4
"X5alpha.pregnan.3beta.20alpha.diol.disulfate_metabolon",4
"X5alpha.pregnan.3beta.20alpha.diol.monosulfate..2._metabolon",4
"X5alpha.pregnan.3beta.20beta.diol.monosulfate..1._metabolon",4
"X7.alpha.hydroxy.3.oxo.4.cholestenoate..7.Hoca._metabolon",1
"X9.10.DiHOME_metabolon",3
"acetoacetate_metabolon",4
"acetylcarnitine_metabolon",4
"adipoylcarnitine_metabolon",4
"andro.steroid.monosulfate..1.._metabolon",4
"androsterone.sulfate_metabolon",5
"azelate..nonanedioate._metabolon",3
"butyrylcarnitine_metabolon",4
"caprate..10.0._metabolon",4
"caproate..6.0._metabolon",4
"caprylate..8.0._metabolon",4
"carnitine_metabolon",5
"cholate_metabolon",1
"cholesterol_metabolon",4
"choline_metabolon",5
"choline.phosphate_metabolon",1
"cis.4.decenoyl.carnitine_metabolon",4
"cortisol_metabolon",4
"cortisone_metabolon",4
"decanoylcarnitine_metabolon",4
"dehydroisoandrosterone.sulfate..DHEA.S._metabolon",5
"deoxycarnitine_metabolon",5
"deoxycholate_metabolon",1
"dodecanedioate_metabolon",4
"epiandrosterone.sulfate_metabolon",5
"etiocholanolone.glucuronide_metabolon",4
"glycerol_metabolon",4
"glycerol.3.phosphate_metabolon",1
"glycerophosphoethanolamine_metabolon",5
"glycerophosphorylcholine..GPC._metabolon",5
"glycochenodeoxycholate_metabolon",3
"glycochenodeoxycholate.glucuronide..1._metabolon",3
"glycochenodeoxycholate.sulfate_metabolon",3
"glycocholate_metabolon",3
"glycocholenate.sulfate._metabolon",5
"glycodeoxycholate.sulfate_metabolon",3
"glycohyocholate_metabolon",3
"glycolithocholate_metabolon",3
"glycolithocholate.sulfate._metabolon",3
"glycoursodeoxycholate_metabolon",3
"hexadecanedioate_metabolon",4
"hexanoylcarnitine_metabolon",4
"hyocholate_metabolon",1
"laurate..12.0._metabolon",4
"laurylcarnitine_metabolon",4
"linoleamide..18.2n6._metabolon",5
"linoleoylcarnitine._metabolon",5
"maleate_metabolon",1
"malonate_metabolon",1
"malonylcarnitine_metabolon",1
"methylmalonate..MMA._metabolon",1
"myo.inositol_metabolon",1
"myristoleoylcarnitine._metabolon",4
"myristoylcarnitine_metabolon",5
"N.palmitoyl.glycine_metabolon",4
"octadecanedioate_metabolon",4
"octanoylcarnitine_metabolon",4
"oleamide_metabolon",5
"oleoyl.ethanolamide_metabolon",4
"oleoylcarnitine_metabolon",5
"palmitic.amide_metabolon",5
"palmitoyl.ethanolamide_metabolon",4
"palmitoylcarnitine_metabolon",5
"palmitoylcholine_metabolon",2
"phosphoethanolamine_metabolon",5
"pregn.steroid.monosulfate._metabolon",4
"pregnanediol.3.glucuronide_metabolon",4
"pregnanolone.allopregnanolone.sulfate_metabolon",1
"pregnen.diol.disulfate._metabolon",5
"pregnenolone.sulfate_metabolon",4
"pristanate_metabolon",4
"propionylcarnitine_metabolon",3
"propionylglycine_metabolon",1
"sebacate..decanedioate._metabolon",4
"sphinganine.1.phosphate_metabolon",1
"sphingosine_metabolon",5
"sphingosine.1.phosphate_metabolon",1
"stearoylcarnitine_metabolon",5
"suberoyl.carnitine_metabolon",4
"taurochenodeoxycholate_metabolon",3
"taurocholate_metabolon",3
"taurocholenate.sulfate_metabolon",4
"taurolithocholate.3.sulfate_metabolon",3
"tetradecanedioate_metabolon",4
"trimethylamine.N.oxide_metabolon",1
"ursodeoxycholate_metabolon",3
"X2..deoxyuridine_metabolon",5
"X3.aminoisobutyrate_metabolon",4
"X3.methylcytidine_metabolon",5
"X3.ureidopropionate_metabolon",5
"X5.methyluridine..ribothymidine._metabolon",5
"X5.6.dihydrothymine_metabolon",1
"X7.methylguanine_metabolon",5
"adenine_metabolon",5
"adenosine_metabolon",1
"adenosine.3..5..cyclic.monophosphate..cAMP._metabolon",4
"adenosine.5..monophosphate..AMP._metabolon",1
"allantoin_metabolon",5
"beta.alanine_metabolon",5
"dihydroorotate_metabolon",5
"hypoxanthine_metabolon",4
"inosine_metabolon",1
"N.acetyl.beta.alanine_metabolon",5
"N1.methyladenosine_metabolon",5
"N2.N2.dimethylguanosine_metabolon",5
"N4.acetylcytidine_metabolon",5
"N6.carbamoylthreonyladenosine_metabolon",5
"N6.succinyladenosine_metabolon",5
"orotate_metabolon",3
"orotidine_metabolon",3
"pseudouridine_metabolon",5
"urate_metabolon",5
"uridine_metabolon",1
"xanthine_metabolon",4
"xanthosine_metabolon",4
"DSGEGDFXAEGGGVR._metabolon",1
"gamma.glutamyl.2.aminobutyrate_metabolon",4
"gamma.glutamyl.epsilon.lysine_metabolon",5
"gamma.glutamylalanine_metabolon",3
"gamma.glutamylglutamate_metabolon",5
"gamma.glutamylglutamine_metabolon",4
"gamma.glutamylglycine_metabolon",5
"gamma.glutamylhistidine_metabolon",5
"gamma.glutamylisoleucine._metabolon",3
"gamma.glutamylleucine_metabolon",3
"gamma.glutamylmethionine_metabolon",3
"gamma.glutamylphenylalanine_metabolon",3
"gamma.glutamylthreonine._metabolon",5
"gamma.glutamyltryptophan_metabolon",5
"gamma.glutamyltyrosine_metabolon",3
"gamma.glutamylvaline_metabolon",3
"N.acetylcarnosine_metabolon",5
"prolylglycine_metabolon",5
"X1.methylurate_metabolon",1
"X1.methylxanthine_metabolon",1
"X1.7.dimethylurate_metabolon",1
"X2.aminophenol.sulfate_metabolon",1
"X2.piperidinone_metabolon",1
"X2.pyrrolidinone_metabolon",5
"X2.3.dihydroxyisovalerate_metabolon",1
"X3.hydroxyhippurate_metabolon",1
"X3.hydroxypyridine.sulfate_metabolon",1
"X3.methylxanthine_metabolon",3
"X3.7.dimethylurate_metabolon",3
"X4.allylphenol.sulfate_metabolon",1
"X4.ethylphenylsulfate_metabolon",1
"X4.hydroxychlorothalonil_metabolon",4
"X4.hydroxyhippurate_metabolon",1
"X4.methylcatechol.sulfate_metabolon",1
"X4.vinylphenol.sulfate_metabolon",1
"X5.acetylamino.6.amino.3.methyluracil_metabolon",1
"X6.hydroxyindole.sulfate_metabolon",1
"X7.methylxanthine_metabolon",3
"alliin_metabolon",1
"benzoate_metabolon",4
"betonicine_metabolon",1
"caffeine_metabolon",1
"catechol.sulfate_metabolon",1
"cinnamoylglycine_metabolon",1
"dimethyl.sulfone_metabolon",5
"EDTA_metabolon",5
"ergothioneine_metabolon",1
"erythritol_metabolon",3
"gluconate_metabolon",1
"hippurate_metabolon",1
"homostachydrine._metabolon",5
"iminodiacetate..IDA._metabolon",5
"indolin.2.one_metabolon",5
"lanthionine_metabolon",3
"methyl.glucopyranoside..alpha...beta._metabolon",1
"methyl.indole.3.acetate_metabolon",5
"methyl.4.hydroxybenzoate.sulfate_metabolon",4
"N.acetylalliin_metabolon",1
"N.methylpipecolate_metabolon",5
"O.methylcatechol.sulfate_metabolon",3
"O.sulfo.L.tyrosine_metabolon",5
"paraxanthine_metabolon",1
"phytanate_metabolon",4
"piperine_metabolon",1
"quinate_metabolon",1
"S.allylcysteine_metabolon",1
"stachydrine_metabolon",1
"sulfate._metabolon",5
"tartarate_metabolon",4
"tartronate..hydroxymalonate._metabolon",4
"theobromine_metabolon",3
"theophylline_metabolon",1
"thymol.sulfate_metabolon",1
